"구분(1)",구분(2),구분(3),2018,2019,2020
"총배출량",소계,소계,726.978,701.214,656.223
"순배출량",소계,소계,686.643,663.504,618.347
"1. 에너지",소계,소계,632.629,611.567,569.917
"1. 에너지",A. 연료연소,소계,628.202,607.370,565.711
"1. 에너지",A. 연료연소,1. 에너지산업,286.399,266.225,237.038
"1. 에너지",A. 연료연소,2. 제조업 및 건설업,188.049,187.612,181.597
"1. 에너지",A. 연료연소,3. 수송,98.102,100.989,96.176
"1. 에너지",A. 연료연소,4. 기타,52.537,49.603,47.994
"1. 에너지",A. 연료연소,5. 미분류,3.115,2.941,2.907
"1. 에너지",B. 탈루,소계,4.427,4.198,4.206
"1. 에너지",B. 탈루,1. 고체연료,0.337,0.304,0.286
"1. 에너지",B. 탈루,2. 석유 및 천연가스,4.090,3.893,3.920
"2. 산업공정",소계,소계,55.796,52.169,48.528
"2. 산업공정",A. 광물산업,소계,35.015,35.113,32.341
"2. 산업공정",B. 화학산업,소계,0.960,0.936,0.907
"2. 산업공정",C. 금속산업,소계,0.249,0.189,0.136
"2. 산업공정",F. 할로카본 및 육불화황 소비,소계,19.572,15.930,15.143
"4. 농업",소계,소계,21.136,20.964,21.050
"4. 농업",A. 장내발효,소계,4.471,4.589,4.743
"4. 농업",B. 가축 분뇨처리,소계,4.936,4.897,4.991
"4. 농업",C. 벼재배,소계,6.251,5.913,5.698
"4. 농업",D. 농경지토양,소계,5.462,5.549,5.603
"4. 농업",F. 작물잔사소각,소계,0.015,0.016,0.015
"5. 토지이용, 토지이용변화 및 임업",소계,소계,-40.334,-37.710,-37.876
"5. 토지이용, 토지이용변화 및 임업",A. 산림지로 유지된 산림지,소계,-42.691,-40.262,-40.522
"5. 토지이용, 토지이용변화 및 임업",B. 농경지로 유지된 농경지,소계,2.749,2.772,2.834
"5. 토지이용, 토지이용변화 및 임업",C. 초지로 유지된 초지,소계,-0.035,-0.023,-0.016
"5. 토지이용, 토지이용변화 및 임업",D. 습지로 유지된 습지,소계,0.309,0.311,0.318
"5. 토지이용, 토지이용변화 및 임업",G. 기타,소계,-0.667,-0.509,-0.490
"6. 폐기물",소계,소계,17.416,16.513,16.728
"6. 폐기물",A. 폐기물매립,소계,7.834,7.728,7.732
"6. 폐기물",B. 하폐수처리,소계,1.725,1.541,1.614
"6. 폐기물",C. 폐기물 소각,소계,7.067,6.407,6.593
"6. 폐기물",D. 기타,소계,0.790,0.837,0.788
